"091 C","StatoilHydro ASA",2007-10-01
"091 D","Statoil Petroleum AS",2013-02-08
092,"Statoil Petroleum AS",2009-11-02
093,"A/S Norske Shell",1984-03-09
"093 B","A/S Norske Shell",2010-02-19
"093 C","A/S Norske Shell",2013-02-08
094,"Statoil Petroleum AS",2009-11-02
"094 B","Statoil Petroleum AS",2009-11-02
095,"ConocoPhillips Skandinavia AS",2007-01-01
096,"Elf Aquitaine Norge A/S",1984-03-09
097,"Statoil Petroleum AS",2009-11-02
098,"Esso Exploration and Production Norway A/S",1984-03-09
099,"Statoil Petroleum AS",2009-11-02
100,"Statoil Petroleum AS",2009-11-02
101,"Norsk Agip  AS",1985-03-01
102,"Total E&P Norge AS",2003-05-06
"102 B","TotalFinaElf Exploration Norge AS",2000-07-24
"102 C","Total E&P Norge AS",2009-03-20
"102 D","Total E&P Norge AS",2012-02-03
"102 E","Total E&P Norge AS",2012-02-03
103,"Amerada Hess Norge AS",1998-11-30
"103 B","Det norske oljeselskap ASA",2009-12-22
104,"Statoil Petroleum AS",2009-11-02
"104 B","Statoil Petroleum AS",2012-02-03
105,"Den norske stats oljeselskap a.s",1985-03-01
106,"Den norske stats oljeselskap a.s",1985-03-01
107,"Statoil Petroleum AS",2009-11-02
"107 B","Statoil Petroleum AS",2009-11-02
"107 C","Statoil Petroleum AS",2009-11-02
"107 D","Statoil Petroleum AS",2011-10-31
108,"A/S Norske Shell",1985-03-01
109,"Norsk Hydro Produksjon AS",1985-03-01
110,"Statoil Petroleum AS",2009-11-02
"110 B","Statoil Petroleum AS",2009-11-02
"110 C","Statoil Petroleum AS",2009-11-02
111,"Esso Exploration and Production Norway A/S",1985-03-01
112,"TotalFinaElf Exploration Norge AS",2000-07-24
113,"DONG E&P Norge AS",2012-06-22
114,"Statoil ASA (old)",2001-05-10
"114 B","Statoil ASA (old)",2001-05-10
"114 C","Statoil ASA (old)",2001-05-10
115,"Den norske stats oljeselskap a.s",1996-07-04
116,"Saga Petroleum ASA",1995-09-01
117,"Saga Petroleum ASA",1985-08-23
118,"BP Petroleum Dev. of Norway AS",1985-08-23
119,"Total Norge AS",1985-08-23
120,"Statoil Petroleum AS",2009-11-02
"120 B","Statoil Petroleum AS",2009-11-02
121,"Statoil Petroleum AS",2009-11-02
122,"Eni Norge AS",2003-12-31
"122 B","Eni Norge AS",2003-12-31
"122 C","Eni Norge AS",2004-12-17
"122 D","Eni Norge AS",2006-01-06
123,"Saga Petroleum ASA",1986-02-28
124,"Statoil Petroleum AS",2009-11-02
125,"A/S Norske Shell",1986-02-28
126,"Esso Exploration and Production Norway A/S",1986-02-28
127,"Total E&P Norge AS",2003-05-06
128,"Statoil Petroleum AS",2009-11-02
"128 B","Statoil Petroleum AS",2009-11-02
"128 C","Statoil ASA (old)",2006-01-06
129,"Norsk Hydro Produksjon AS",1986-07-11
130,"Den norske stats oljeselskap a.s",1987-04-10
131,"Elf Petroleum Norge AS",1987-04-10
132,"Statoil Petroleum AS",2009-11-02
133,"Norske Conoco A/S",1987-04-10
134,"Statoil Petroleum AS",2009-11-02
"134 B","Statoil Petroleum AS",2009-11-02
"134 C","Statoil Petroleum AS",2009-11-02
135,"Saga Petroleum ASA",1987-04-10
136,"Norsk Hydro Produksjon AS",1987-04-10
137,"Den norske stats oljeselskap a.s",1987-04-10
138,"Total Norge AS",1987-05-29
139,"Den norske stats oljeselskap a.s",1987-05-29
140,"Mobil Development Norway AS",1987-05-29
141,"Norsk Hydro Produksjon AS",1987-05-29
142,"Den norske stats oljeselskap a.s",1997-09-01
143,"ConocoPhillips Skandinavia AS",2003-06-27
"143 BS","Talisman Energy Norge AS",2006-11-16
"143 CS","Talisman Energy Norge AS",2006-11-16
144,"Amerada Hess Norge AS",1999-01-01
145,"ConocoPhillips Skandinavia AS",2003-05-06
146,"Statoil Petroleum AS",2009-11-02
147,"DONG E&P Norge AS",2008-09-01
148,"Lundin Norway AS",2004-01-01
149,"Esso Exploration and Production Norway A/S",1988-07-08
150,"Marathon Oil Norge AS",2011-07-04
"150 B","Marathon Oil Norge AS",2011-07-04
